BCL2L10 ZAR1L C3orf56 BTG4 TUBB8 SH2D1B C9orf116 TMEM132B CA4 FAM19A4 label
E5.7.675 0 0 0 0 0 0 51 0 0 0 E5
E5.7.693 0 0 0 0 0 0 185 0 0 0 E5
E5.7.689 0 0 9 0 12 0 184 0 0 0 E5
E5.7.688 0 0 0 0 0 0 62 0 0 0 E5
E5.7.690 0 0 0 0 0 0 14 0 0 0 E5
E5.7.679 0 0 0 0 5 0 17 0 0 0 E5
E5.7.703 0 0 0 0 8 0 337 0 0 0 E5
E5.7.704 0 0 0 0 0 0 44 0 0 0 E5
E5.7.685 0 0 0 0 0 0 127 0 0 0 E5
E5.7.701 0 0 1 0 0 0 21 0 0 0 E5
E5.7.681 0 0 0 0 0 0 249 0 0 0 E5
E5.7.696 0 0 0 0 0 0 68 0 0 0 E5
E5.7.694 0 0 0 0 27 0 52 0 0 0 E5
E5.7.697 0 0 0 0 0 0 22 0 0 0 E5
E5.7.676 0 0 0 0 0 0 35 0 0 0 E5
E5.7.682 0 0 0 0 20 0 215 0 0 0 E5
E5.7.674 0 7 0 0 2 0 90 0 0 0 E5
E5.7.700 0 0 0 0 0 0 56 0 0 0 E5
E5.7.695 0 0 0 0 0 0 26 0 0 0 E5
E5.7.706 0 0 0 0 0 0 12 0 0 0 E5
E5.7.678 0 0 0 0 0 0 13 0 0 0 E5
E5.7.680 0 0 0 0 0 0 12 0 0 0 E5
E5.7.705 0 0 0 0 0 0 90 0 0 0 E5
E5.7.698 0 0 0 0 11 0 26 0 0 0 E5
E5.8.916 0 0 0 0 0 0 0 0 0 0 E5
E5.9.924 0 0 0 0 0 26 10 0 0 0 E5
E5.8.919 0 0 0 0 0 0 9 0 0 0 E5
E5.10.940 0 0 0 0 0 0 0 0 0 0 E5
E5.10.948 0 0 0 0 0 47 3 0 0 0 E5
E5.9.927 0 0 0 0 1 0 52 0 0 0 E5
E5.11.956 0 0 0 0 0 0 1 0 19 0 E5
E5.10.932 0 0 7 0 0 0 3 0 0 0 E5
E5.8.918 0 0 0 0 0 0 0 0 0 0 E5
E5.8.922 0 0 24 0 0 0 0 1 0 0 E5
E5.10.935 0 0 0 0 0 0 2 0 0 0 E5
E5.10.938 0 0 0 0 0 2 3 0 0 0 E5
E5.10.934 0 0 0 0 0 0 0 0 0 0 E5
E5.9.930 0 0 0 0 0 0 0 0 0 0 E5
E5.11.964 0 0 0 0 1 31 0 0 0 0 E5
E5.10.950 0 0 0 0 0 19 0 0 0 0 E5
E5.11.962 0 0 0 0 0 0 0 0 0 0 E5
E5.11.951 0 0 17 0 0 0 0 0 0 0 E5
E5.10.942 0 0 0 0 2 66 0 0 0 0 E5
E5.8.915 0 0 0 0 15 0 0 0 0 0 E5
E5.10.943 0 0 0 0 0 0 7 0 0 0 E5
E5.8.921 0 0 0 0 2 0 0 0 0 0 E5
E5.9.931 0 0 0 0 2 78 0 0 0 0 E5
E5.8.920 0 0 0 0 0 0 0 0 34 1 E5
E5.11.966 0 0 0 0 0 0 0 0 0 0 E5
E5.9.923 0 0 0 0 0 45 120 0 0 0 E5
E5.10.947 0 0 0 0 0 0 0 0 0 0 E5
E5.11.959 0 0 23 0 0 0 0 0 19 0 E5
E5.9.928 0 0 0 0 4 0 38 0 0 0 E5
E5.11.963 0 0 0 0 0 0 0 0 0 0 E5
E5.10.936 0 0 0 0 0 0 1 0 0 0 E5
E5.10.937 2 0 0 0 0 0 15 0 0 0 E5
E5.11.955 5 0 0 0 7 10 0 0 0 0 E5
E5.10.945 0 0 0 0 0 0 0 0 0 0 E5
E5.10.944 0 0 0 0 0 0 8 0 0 0 E5
E5.10.939 0 0 0 0 2 0 3 0 0 0 E5
E5.11.952 0 0 0 0 0 0 9 0 0 0 E5
E5.9.929 0 0 0 0 0 0 0 0 0 0 E5
E5.11.960 0 0 0 0 0 0 0 0 0 6 E5
E5.11.961 0 0 0 0 0 0 0 0 0 0 E5
E5.11.953 0 0 0 0 0 0 0 0 0 0 E5
E5.10.933 0 0 0 0 0 0 1 0 0 0 E5
E5.10.949 0 0 0 0 0 0 0 0 0 0 E5
E5.10.941 0 0 0 0 0 18 0 0 0 0 E5
E5.9.925 0 0 0 0 0 0 19 0 0 0 E5
E5.11.965 0 31 0 0 0 0 0 0 0 0 E5
E5.11.957 0 0 0 0 0 3 0 0 0 0 E5
E3.45.3377 244 14 258 150 1899 0 0 86 0 10 E3
E3.45.3376 797 210 2172 308 6359 89 0 139 0 133 E3
E3.45.3379 1 116 201 0 850 0 0 59 0 30 E3
